iter	RMSE
0	31.80962679
1	31.47086045
2	31.15616316
3	30.89817629
4	30.62816033
5	30.42835016
6	30.00569251
7	29.70618502
8	29.42061868
9	29.03095828
10	28.87029595
11	28.6133503
12	28.49417209
13	28.17553909
14	28.05166034
15	27.91210736
16	27.61018849
17	27.33513534
18	27.27208452
19	26.98217746
20	26.91087125
21	26.647585
22	26.52353023
23	26.35327873
24	26.29335331
25	26.18598285
26	25.90761189
27	25.66708224
28	25.37726916
29	25.27636521
30	25.24591327
31	25.14820899
32	24.90906383
33	24.69815435
34	24.49253869
35	24.26660653
36	23.99289398
37	23.96502339
38	23.7919768
39	23.7155732
40	23.66081716
41	23.50786343
42	23.32535621
43	23.22238403
44	23.13792805
45	22.95792165
46	22.77735192
47	22.61271941
48	22.51011555
49	22.27659352
50	22.21682062
51	22.13959677
52	22.03304833
53	21.94906938
54	21.74980777
55	21.67713188
56	21.4508026
57	21.19066075
58	21.04612765
59	20.95951449
60	20.89813837
61	20.84578747
62	20.62808891
63	20.42214969
64	20.24319208
65	20.02359545
66	19.87354466
67	19.68011615
68	19.53193808
69	19.35813792
70	19.17456457
71	19.11961612
72	18.97587125
73	18.8446608
74	18.66769136
75	18.48679764
76	18.38019994
77	18.21328364
78	18.08861215
79	17.9550081
80	17.7969891
81	17.64694459
82	17.50447192
83	17.36918923
84	17.25644749
85	17.18452892
86	17.05448183
87	16.92921604
88	16.81031265
89	16.74662249
90	16.62069272
91	16.55967194
92	16.40779821
93	16.32129346
94	16.23933485
95	16.16167811
96	16.02364242
97	15.96835671
98	15.89066944
99	15.83838131
