iter	Passed	Remaining
0	46	4608
1	47	2345
2	49	1589
3	50	1212
4	51	981
5	52	827
6	54	717
7	55	636
8	56	571
9	57	518
10	58	476
11	60	441
12	60	407
13	61	376
14	61	349
15	61	325
16	62	304
17	62	285
18	63	268
19	63	253
20	63	239
21	64	227
22	64	215
23	64	205
24	65	195
25	65	186
26	65	178
27	66	170
28	66	163
29	66	156
30	67	149
31	67	143
32	67	137
33	68	132
34	68	127
35	69	122
36	69	118
37	69	113
38	70	109
39	70	106
40	71	102
41	71	98
42	71	95
43	72	92
44	72	88
45	73	85
46	73	82
47	73	79
48	74	77
49	74	74
50	74	71
51	75	69
52	75	66
53	75	64
54	76	62
55	76	59
56	76	57
57	77	55
58	77	53
59	77	51
60	78	50
61	78	48
62	78	46
63	79	44
64	79	42
65	80	41
66	80	39
67	80	38
68	81	36
69	81	34
70	81	33
71	82	31
72	82	30
73	82	29
74	83	27
75	83	26
76	83	25
77	84	23
78	84	22
79	84	21
80	85	19
81	85	18
82	85	17
83	86	16
84	86	15
85	86	14
86	86	12
87	87	11
88	87	10
89	87	9
90	88	8
91	88	7
92	88	6
93	89	5
94	89	4
95	89	3
96	89	2
97	90	1
98	90	0
99	90	0
